id,bitrate,currentConfiguration,energy,energyDelta,iteration,latency,performance,powerConsumption,quality,runningTime,systemEnergy,time,windowSize
102,9037.733408,-1,33488614.63,162790.5943,699.5,0.077551999,12.89457414,2099115.388,55895.05057,53.96180048,4370416540,1571204243,40
103,9037.627113,-1,33232992.93,163124.0607,699.5,0.077290139,12.93826105,2110541.682,55880.84767,54.00558031,4438209768,1571204353,40
104,9037.179582,-1,33684998.57,163337.8714,699.5,0.077789265,12.8552443,2099748.241,55868.98868,54.41013622,4506123726,1571204462,40
105,9037.733551,-1,33392239.48,162596.215,699.5,0.077529948,12.89824158,2097205.261,55857.87855,54.11031196,4573789765,1571204572,40
106,9037.627257,-1,33183646.76,163210.0743,699.5,0.077455267,12.91067778,2107152.68,55890.06313,54.20533709,4641366993,1571204681,40
107,9037.179726,-1,33634188.69,162394.8579,699.5,0.077911872,12.83501444,2084340.345,55876.76319,54.5855267,4709069718,1571204791,40
108,8956.98755,-1,35695492.19,162669.66,699.5,0.082251938,12.15776824,1977700.025,56026.80376,57.63252928,4778934224,1571204904,40
109,8956.176129,-1,35537750.71,162513.3157,699.5,0.082663201,12.09728141,1965969.314,55981.09313,57.83495478,4850812685,1571205020,40
110,8956.138965,-1,35912346.06,162399.6493,699.5,0.083053948,12.04036689,1955351.361,55968.66428,58.04835775,4922929580,1571205137,40
111,8956.698124,-1,35765210.73,162751.4079,699.5,0.082525747,12.11743051,1972128.874,56068.3173,57.65113049,4995041244,1571205253,40
112,8956.176129,-1,35900913.82,162444.5921,699.5,0.083181115,12.0219595,1952902.307,55989.33806,58.19267459,5067275213,1571205370,40
113,8956.138965,-1,35380775.38,162884.1271,699.5,0.082313093,12.14873549,1978836.177,55993.85673,57.44783958,5139380373,1571205487,40
114,8956.698267,-1,35778565.55,162560.5743,699.5,0.082799938,12.07730379,1963293.441,56014.12599,57.58806295,5211283678,1571205603,40
115,8956.176272,-1,38987762.58,198280.9593,699.5,0.082229067,12.16114979,2411324.447,56057.62489,57.56197247,5287067456,1571205720,40
116,8956.139108,-1,47761836.87,198580.1486,699.5,0.083354484,11.99695507,2382357.121,56072.42018,58.37876033,5383161175,1571205837,40
117,8925.988124,-1,40363537.64,163264.915,699.5,0.093026138,10.74966693,1755043.458,56069.82768,65.08350793,5464491893,1571205961,40
118,8925.22377,-1,40129410.11,162961.425,699.5,0.093355973,10.71168737,1745591.838,56121.67859,65.16364841,5545949980,1571206092,40
119,8892.941627,-1,38767728.21,155684.9907,699.5,0.093808749,10.65998653,1659599.905,55861.96252,65.62318888,39234266.97,1571210108,40
120,8925.876256,-1,38903339.69,156861.6714,699.5,0.093206078,10.72891405,1682955.391,56111.33827,65.26736121,117555946.6,1571210240,40
121,8925.22377,-1,38589678.96,156730.4086,699.5,0.093065779,10.74508817,1684082.06,56059.7045,64.91902454,195723504,1571210371,40
122,8924.817418,-1,39242443.82,157353.45,699.5,0.093677238,10.67495181,1679740.496,56058.65315,65.61440022,274455019.6,1571210503,40
123,8925.876399,-1,39198258.37,157976.7757,699.5,0.093158953,10.73434137,1695776.64,56062.12817,65.14210376,353249854.4,1571210634,40
124,8925.223914,-1,39145404.15,157519.89,699.5,0.093479031,10.69758633,1685082.621,56109.16037,65.17950564,432118898.6,1571210766,40
125,8924.817561,-1,39601233.96,158321.8614,699.5,0.093993115,10.63907716,1684398.499,56003.44676,65.75009843,511389355.5,1571210898,40
126,8829.419397,-1,47083341.1,157931.095,699.5,0.112143531,8.917143909,1408294.302,56527.86588,78.42297957,598503887.4,1571211043,40
127,8828.34533,-1,47465436.87,158382.0957,699.5,0.112680866,8.87462115,1405581.096,56429.5877,78.67674395,693440894.7,1571211201,40
