id,currentConfiguration,energy,energyDelta,iteration,latency,performance,powerConsumption,quality,runningTime,systemEnergy,time,windowSize
126,-1,2102856.52,45854.45,49.5,0.011366758,87.97583,4034083.298,1.47878221,0.651220419,772117986.8,1571859603,20
127,-1,1355837.65,38305.9,49.5,0.008346963,119.8040543,4589202.124,1.045333271,0.417124593,775141624.8,1571859604,20
128,-1,7568635.58,151408.87,49.5,0.046923141,21.31144609,3226741.971,2.301534219,2.344537544,784187847.9,1571859607,20
129,-1,5141406.6,99580.09,49.5,0.030946822,32.31349554,3217780.794,2.374525609,1.592588041,797102231.5,1571859611,20
130,-1,2839733.75,53957.74,49.5,0.016478143,60.68645089,3274503.738,1.624817562,0.867484081,804900789.1,1571859613,20
131,-1,2020218.74,41392.02,49.5,0.012625153,79.20696049,3278536.093,1.076692283,0.61641685,809676511.6,1571859615,20
132,-1,6396596.52,124206.77,49.5,0.03861665,25.8955657,3216404.573,2.374525609,1.989253623,818344695.5,1571859618,20
133,-1,3677554.01,73419.47,49.5,0.022661524,44.1276592,3239829.351,1.624817562,1.13710829,828321803.5,1571859621,20
134,-1,2033501.89,39671.37,49.5,0.011836262,84.48613432,3351680.694,1.076692283,0.618708279,834217878.5,1571859622,20
135,-1,1479965.66,29076.83,49.5,0.0088323,113.2207956,3292101.826,0.820682861,0.454080317,837713998.2,1571859624,20
136,-1,6093274.42,121505.18,49.5,0.037615311,26.584919,3230205.368,1.624817562,1.887717514,845366950.9,1571859626,20
137,-1,3141657.44,62930.36,49.5,0.019411931,51.51471011,3241839.252,1.076692283,0.968413858,854674679.7,1571859629,20
138,-1,1857347.98,38993.01,49.5,0.011113191,89.98315888,3508714.214,0.820682861,0.5656532,859798165.6,1571859630,20
139,-1,1697344.33,41226.95,49.5,0.010245605,97.60283042,4023867.009,0.624663713,0.520904443,863429787.9,1571859631,20
140,-1,5351747.24,105888.78,49.5,0.032625821,30.65057002,3245551.466,1.076692283,1.647811491,870533210.8,1571859634,20
141,-1,3602066.34,74120.02,49.5,0.022591121,44.26517796,3280935.875,0.820682861,1.116920583,879605794,1571859636,20
142,-1,2235343.9,48405.8,49.5,0.013335094,74.99009502,3629955.541,0.624663713,0.691362076,885672988.8,1571859638,20
143,-1,1388328.97,30047.55,49.5,0.008115849,123.2156906,3702329.623,0.369695553,0.406237593,889281063.3,1571859639,20
144,-1,10344277.73,204119.54,49.5,0.064258127,15.56223381,3176556.007,4.603068905,3.254786868,901046317.3,1571859643,20
145,-1,8269273.34,184558.59,49.5,0.057521122,17.38491834,3208536.016,4.749051218,2.578762686,919554287.5,1571859649,20
146,-1,4150299.55,184954.14,49.5,0.056243744,17.77975524,3288439.339,3.249635124,1.310575688,934081855.3,1571859653,20
