id,cost,currentConfiguration,energy,energyDelta,iteration,latency,performance,powerConsumption,reliability,responseTime,runningTime,SOAperf,systemEnergy,time,windowSize
116,30.57,-1,4588633.32,230243.6707,749.5,0.006636797,150.6750825,34691984.07,0.679333333,1.187325184,4.97744874,24.30276211,1037036347,1571695100,80
117,32.19,-1,4486955.282,229648.9527,749.5,0.006633073,150.7596889,34621804.67,0.722,1.037127557,4.973759034,16.15678168,1046019862,1571695110,80
118,34.64,-1,4504076.763,230219.066,749.5,0.006651932,150.3322661,34609353.9,0.712666667,0.885870319,4.989297008,43.98804282,1055036307,1571695120,80
119,36.79,-1,4603073.648,230294.7507,749.5,0.006647903,150.4233821,34641715.27,0.786,0.734984274,4.987134394,20.0005277,1064056103,1571695131,80
120,27.48,-1,4362561.824,224722.5333,749.5,0.00665831,150.1882696,33750688.42,0.619333333,1.365023533,4.993231726,8.212343418,1073075921,1571695141,80
121,29.88,-1,4425559.471,226160.7367,749.5,0.006655688,150.2474318,33980069.85,0.644,1.199584731,4.989861818,18.17551576,1082095369,1571695151,80
122,31.91,-1,3987818.967,226490.5653,749.5,0.006653655,150.2933267,34040020.52,0.686,1.031826806,4.989620375,59.98222903,1091142846,1571695161,80
123,33.09,-1,4605205.065,227156.5227,749.5,0.006835975,146.284915,33229572.6,0.698666667,0.937964637,5.126659461,17.13793743,1100313242,1571695172,80
124,35.34,-1,4459564.166,228460.7207,749.5,0.006831448,146.3818523,33442503.46,0.752666667,0.852229234,5.121785632,20.76999298,1109613633,1571695183,80
125,38.06,-1,4664134.949,229912.058,749.5,0.006824464,146.5316475,33689392.63,0.786,0.628514981,5.121008047,13.32035507,1118900452,1571695193,80
126,25.93333333,-1,4370414.978,226086.9327,749.5,0.006827617,146.4639823,33113592.5,0.520666667,1.063562995,5.126849526,13.42392111,1128204544,1571695204,80
127,29.72,-1,4476730.904,226991.924,749.5,0.006803595,146.9811269,33363528.8,0.554,0.938487623,5.10074654,10.9226759,1137479113,1571695214,80
128,33.57333333,-1,4377760.976,221818.9293,749.5,0.006804511,146.9613339,32598805.74,0.588,0.875162365,5.104001966,19.84226537,1146753794,1571695225,80
129,37.81333333,-1,4421826.337,228178.3687,749.5,0.006806279,146.9231568,33524686.23,0.634666667,0.732376236,5.104835196,23.44204111,1156020486,1571695236,80
130,41.10666667,-1,4670668.717,229251.1793,749.5,0.006820685,146.6128319,33611164.62,0.692,0.677782546,5.11425043,22.36782822,1165304075,1571695246,80
131,43.82666667,-1,4717149.455,230393.5993,749.5,0.006829728,146.4187229,33733936.57,0.728666667,0.569692425,5.118586219,32.68273442,1174607096,1571695257,80
132,27.45333333,-1,4291105.981,226002.096,749.5,0.006806662,146.9148849,33203071.93,0.540666667,1.047113161,5.104818658,10.74523719,1183916614,1571695267,80
133,31.92,-1,4257311.5,226547.0067,749.5,0.00680226,147.0099626,33304666.97,0.542,0.903796961,5.101835986,16.57563621,1193191725,1571695278,80
134,34.64,-1,4584612.011,226959.5327,749.5,0.006817526,146.6807647,33290597.8,0.612,0.819630319,5.112509874,17.31755137,1202473214,1571695289,80
135,38.32,-1,4375940.159,228015.594,749.5,0.006825736,146.5043399,33405274.08,0.646,0.695507008,5.120039131,26.31298348,1211774665,1571695299,80
136,41.66666667,-1,4579629.193,229585.2167,749.5,0.00680401,146.9721447,33742631.69,0.690666667,0.638629305,5.102861391,37.63307543,1221065630,1571695310,80
137,46.12,-1,4712796.812,230293.658,749.5,0.006825414,146.5112588,33740613.72,0.738,0.512748852,5.115878998,28.70586435,1230360862,1571695320,80
138,29.52,-1,4289150.165,225461.8433,749.5,0.006815967,146.7143236,33078481.83,0.557333333,0.973674111,5.112329724,30.8357999,1239664093,1571695331,80
139,33.45333333,-1,4245133.08,221826.5873,749.5,0.006841271,146.1716774,32424764.36,0.580666667,0.829458675,5.13724097,22.3400798,1249018345,1571695342,80
140,36.18666667,-1,4405248.759,228638.68,749.5,0.006833679,146.3340568,33457625.58,0.618666667,0.770166307,5.13125503,37.64770501,1258357604,1571695352,80
141,39.54666667,-1,4362360.533,230188.28,749.5,0.006827933,146.4572178,33712735.07,0.661333333,0.652457832,5.120796561,28.1948394,1267672467,1571695363,80
142,41.78666667,-1,4530775.398,225747.9087,749.5,0.006817541,146.6804432,33112803.29,0.687333333,0.623931685,5.112941639,40.4573565,1276984382,1571695374,80
143,45.90666667,-1,4557386.559,227150.4553,749.5,0.006818408,146.6618046,33314295.69,0.736,0.5274608,5.116897151,38.56922683,1286300302,1571695384,80
144,31.93333333,-1,4246626.537,222245.3393,749.5,0.006822331,146.5774719,32576159.98,0.592,0.868843079,5.116381971,35.82650216,1295601360,1571695395,80
145,34.12,-1,4671053.863,229208.9387,749.5,0.006823158,146.5597095,33592795.47,0.6,0.83898802,5.11794843,18.84821662,1304917251,1571695405,80
146,37.49333333,-1,4611673.033,230032.976,749.5,0.006823122,146.5604743,33713742.06,0.624666667,0.762752429,5.118271568,26.8492407,1314222316,1571695416,80
147,40.57333333,-1,4626318.894,231241.658,749.5,0.006801638,147.0234123,33997937.63,0.665333333,0.661491116,5.100343947,26.62899393,1323510864,1571695427,80
148,44.18666667,-1,4442317.825,225910.8867,749.5,0.006802224,147.0107321,33211324.83,0.718,0.568840819,5.098660829,75.19941864,1332764629,1571695437,80
149,47.37333333,-1,4230130.665,226785.2113,749.5,0.006822835,146.5666473,33239148.09,0.748666667,0.492937522,5.117069169,46.48433905,1342073246,1571695448,80
150,33.28,-1,4454282.7,228080.216,749.5,0.00681541,146.7263129,33465369.13,0.614666667,0.841562932,5.111778842,15.35144027,1351380815,1571695458,80
151,35.8,-1,4653180.196,229130.5567,749.5,0.006810555,146.8309121,33643448.63,0.616,0.790886503,5.107142064,20.35096696,1360680552,1571695469,80
152,38.81333333,-1,4685353.166,229573.504,749.5,0.006815265,146.7294268,33685188.66,0.674666667,0.696659035,5.111397188,21.10707215,1369982888,1571695480,80
153,41.77333333,-1,4732504.245,230628.8253,749.5,0.006820759,146.6112569,33812781.95,0.677333333,0.628358026,5.115985212,22.89804496,1379286974,1571695490,80
154,44.81333333,-1,4386768.093,226474.942,749.5,0.006836492,146.2738479,33127361.22,0.740666667,0.532275205,5.128109749,52.48590522,1388613323,1571695501,80
155,47.69333333,-1,4466790.481,226418.1947,749.5,0.006829658,146.4202256,33152203.15,0.753333333,0.45980379,5.12042567,51.31582176,1397915143,1571695511,80
156,34.70666667,-1,4663697.749,229102.344,749.5,0.006821463,146.5961096,33585512.33,0.612666667,0.760335366,5.115600237,13.74998655,1407202483,1571695522,80
157,37.12,-1,4712753.926,230078.6453,749.5,0.006825354,146.5125553,33709410.25,0.623333333,0.701669369,5.118583909,18.52410148,1416514573,1571695533,80
158,40.2,-1,4454552.986,224285.7307,749.5,0.006814556,146.7447009,32912742.47,0.656666667,0.645633684,5.110951109,80.09154028,1425804501,1571695543,80
159,43.68,-1,4531852.223,226142.7467,749.5,0.006800025,147.0582832,33256164.08,0.705333333,0.534700432,5.099832991,57.44288305,1435026655,1571695554,80
160,45.97333333,-1,4526100.264,227809.014,749.5,0.006814788,146.7397142,33428629.6,0.721333333,0.522962316,5.115635848,25.11306482,1444341931,1571695564,80
161,48.82666667,-1,4347554.503,226837.316,749.5,0.006818909,146.6510154,33265922.72,0.776,0.451684802,5.113734052,32.23978641,1453644979,1571695575,80
162,36.89333333,-1,4564379.915,229106.3767,749.5,0.006808861,146.8674505,33648269.43,0.626666667,0.743275765,5.106493201,12.30606951,1462891624,1571695586,80
163,39.6,-1,4417220.888,228961.688,749.5,0.006814578,146.7442286,33598806.28,0.632,0.660031972,5.11340431,38.35907895,1472182961,1571695596,80
164,42.18666667,-1,4553541.347,231366.0113,749.5,0.006824187,146.5375996,33903819.94,0.674,0.548719555,5.118195213,24.07447722,1481484348,1571695607,80
165,44.56,-1,4355089.211,226936.7493,749.5,0.006843107,146.13246,33162825.45,0.701333333,0.528971288,5.128953429,47.12581329,1490831494,1571695618,80
