id,bitrate,currentConfiguration,energy,energyDelta,iteration,latency,performance,powerConsumption,quality,runningTime,systemEnergy,time,windowSize
105,1975.258795,-1,14683374.86,178899.7364,699.5,0.031388886,31.85840969,5699461.097,47143.15186,21.82673921,2672131551,1571452838,40
106,176.8951202,-1,7395797.591,172819.44,699.5,0.016240452,61.57464019,10641294.84,39288.33592,11.22348821,2694980162,1571452872,40
107,166.5841466,-1,7064621.609,164318.8264,699.5,0.016346679,61.17450559,10052122.97,39133.3134,11.31794477,7405294.94,1571552900,40
108,8786.231303,-1,36985627.22,169212.7493,699.5,0.082840761,12.0713522,2042626.694,56135.54119,57.78974744,52268762.81,1571552970,40
109,8828.348477,-1,37570896.9,170790.1943,699.5,0.083010245,12.04670582,2057459.227,56264.24306,57.93116579,128059931.2,1571553087,40
110,1807.327609,-1,26898120.99,170704.7436,699.5,0.059365142,16.84490204,2875504.683,47624.21002,41.43481577,193232731.2,1571553188,40
111,1770.37227,-1,27209843.03,170151.7814,699.5,0.059831161,16.71369864,2843865.599,47689.90824,41.75133685,247720912,1571553272,40
112,167.79168,-1,12275909.95,168105.535,699.5,0.027598634,36.23367722,6091081.694,43230.18781,18.94346549,287555416,1571553334,40
113,159.6068392,-1,12051302.32,167868.3829,699.5,0.027674538,36.13429847,6065806.249,43232.63326,18.96199112,312736457.7,1571553373,40
114,8786.192227,-1,37504287.15,172391.1336,699.5,0.08256399,12.11181775,2087969.992,56207.34583,57.65204734,363690893.8,1571553451,40
115,8828.348477,-1,38160294.4,172629.2657,699.5,0.083021024,12.04514165,2079343.959,56283.0917,57.89355114,440371011.8,1571553568,40
116,1807.327609,-1,26641203.72,171634.0914,699.5,0.059451202,16.82051783,2886974.295,47693.95544,41.52739731,506431304.8,1571553669,40
117,1770.37227,-1,26585465.03,171890.2921,699.5,0.059621644,16.77243241,2883018.306,47468.94247,41.53515034,561468952.6,1571553753,40
118,167.79168,-1,12151157.83,170395.3286,699.5,0.02761172,36.21650465,6171123.21,43197.64693,19.00123855,601653483.8,1571553814,40
119,159.6068392,-1,12216218.86,169886.0614,699.5,0.027850873,35.90551727,6099846.912,43233.30056,19.09751293,627072601.4,1571553854,40
120,9139.370521,-1,31931760.22,373722.6079,699.5,0.032219431,31.0371716,11599292.71,56408.96543,22.48104611,672091217.5,1571553897,40
121,9183.908536,-1,32235423.83,378937.6493,699.5,0.032255771,31.00220456,11747902.52,56381.34566,22.50378555,737556825.8,1571553943,40
122,2012.672286,-1,18886864.71,370044.98,699.5,0.019428571,51.4705886,19046432.93,46966.125,13.5024251,790185310.7,1571553979,40
123,1975.258795,-1,19267190.08,370034.3943,699.5,0.019505,51.268906,18971258.58,46972.63864,13.53270007,829314938.1,1571554007,40
