,cpufreq,uncore_min,uncore_max,reducermaxSizeInFlight,shufflefilebuffer,shufflesortbypassMergeThreshold,speculationinterval,speculationmultiplier,speculationquantile,broadcastblockSize,iocompressionsnappyblockSize,kryoserializerbuffermax,kryoserializerbuffer,drivermemory,executormemory,networktimeout,localitywait,taskmaxFailures,shufflecompress,memoryfraction,shufflespillcompress,broadcastcompress,memorystorageFraction
1802,2400000,15,15,104,110,350,630,4,0.7,20,79,26,112,13,9,140,5,3,0,0.7,0,0,0.7999999999999999
1803,1800000,30,30,113,27,730,850,5,0.7,14,42,68,38,11,13,400,8,2,0,0.6,0,0,0.6
1804,1800000,15,15,122,80,670,660,4,0.7,6,69,98,88,9,17,140,9,6,1,0.7,0,1,0.5
1805,2400000,10,10,100,84,150,740,4,1.0,10,79,102,114,12,10,300,5,6,0,0.7999999999999999,1,0,0.5
1806,1200000,30,30,84,115,840,740,4,0.7999999999999999,46,87,32,40,13,9,120,8,3,1,0.8999999999999999,1,1,0.7
1807,1200000,20,20,91,113,620,320,3,0.8999999999999999,60,31,58,28,9,9,140,9,1,1,0.7999999999999999,1,0,1.0
1808,1800000,15,15,33,27,940,100,5,0.7999999999999999,16,51,54,46,10,15,120,7,4,0,0.8999999999999999,1,1,0.7999999999999999
1809,3000000,20,20,71,93,380,700,5,0.7,20,109,84,66,11,9,40,5,4,0,0.5,0,0,0.8999999999999999
1810,1800000,20,20,100,72,790,450,5,0.5,60,98,50,120,12,11,80,10,7,1,0.8999999999999999,0,0,0.5
1811,1800000,30,30,111,102,530,540,2,0.6,4,84,26,120,13,13,160,9,3,1,0.6,1,1,0.7
1812,1200000,30,30,88,40,570,460,4,1.0,42,38,52,30,10,15,400,4,1,0,0.7999999999999999,1,0,0.7
1813,2400000,30,30,107,33,320,250,4,0.7999999999999999,26,28,114,50,11,15,360,6,7,0,0.7,1,0,0.5
1814,2400000,15,15,83,44,330,190,2,0.7,4,104,36,30,14,17,60,3,4,0,0.7999999999999999,0,1,0.8999999999999999
1815,1200000,10,10,108,70,190,280,5,1.0,60,77,72,82,13,15,180,5,2,0,0.7999999999999999,0,0,0.8999999999999999
1816,3000000,30,30,123,58,1000,830,5,0.7,50,103,50,116,12,8,460,7,8,0,0.7,1,0,0.7
1817,1800000,15,15,118,42,600,410,4,0.8999999999999999,54,117,102,106,12,18,260,3,8,1,0.7999999999999999,1,1,0.7999999999999999
1818,1200000,15,15,35,72,390,820,2,1.0,10,96,34,52,8,18,180,10,8,1,0.7,1,0,0.6
1819,1800000,30,30,127,125,230,360,4,0.7,46,68,120,86,14,15,200,10,4,0,0.7,0,0,1.0
1820,1800000,20,20,128,86,230,760,1,0.6,42,118,94,28,14,14,60,3,1,0,0.7,1,1,0.7999999999999999
1821,1200000,20,20,92,83,330,910,1,0.7999999999999999,48,88,40,100,13,14,240,9,7,1,0.7999999999999999,1,0,0.7999999999999999
1822,3000000,10,10,75,124,890,690,5,0.6,22,52,88,26,14,18,400,2,2,1,0.5,1,0,0.7999999999999999
1823,1200000,15,15,49,111,690,180,4,0.7,10,115,98,96,9,10,260,2,2,1,0.7999999999999999,1,0,0.7
